电影名称,导演,主演,评分,评分人数,引述
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,9.2,488699,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,8.7,330364,故事的高级讲法。
素媛,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,9.1,173398,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
本杰明·巴顿奇事,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,8.7,388994,在时间之河里感受溺水之苦。
入殓师,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,8.8,316085,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
沉默的羔羊,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,8.7,348959,安东尼·霍普金斯的顶级表演。
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,,8.8,276755,视觉革命。
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,8.8,233771,美利坚精神输出大片No1.
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,8.7,341608,美丽无罪。
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,,8.7,376661,人的命运被自己瞬间的抉择改变。
玛丽和马克思,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,8.9,230579,你是我最好的朋友，你是我唯一的朋友 。
心灵捕手,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,8.7,266132,人生中应该拥有这样的一段豁然开朗。
春光乍泄,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,8.8,241094,爱情纠缠，男女一致。
